Nombre de la Unidad Económica,Nombre de clase de la actividad,Latitud,Longitud
ANTOGABITO,Restaurantes con servicio de preparación de antojitos,19.00642006,-98.20099746
ANTOJITOS BULBO,Restaurantes con servicio de preparación de antojitos,19.00676313,-98.2036325
ANTOJITOS CHIVIS,Restaurantes con servicio de preparación de antojitos,19.00639977,-98.20094115
ANTOJITOS DOÑA POLITA,Restaurantes con servicio de preparación de antojitos,19.00588799,-98.20121394
ANTOJITOS DORA,Restaurantes con servicio de preparación de antojitos,19.0080283,-98.20637131
ANTOJITOS DULCE ANTOJO,Restaurantes que preparan otro tipo de alimentos para llevar,19.00456428,-98.20148648
ANTOJITOS RIKI,Restaurantes con servicio de preparación de antojitos,19.00567707,-98.20152662
ANTOJITOS ROSITA,Restaurantes con servicio de preparación de antojitos,19.0043041,-98.20095887
ANTOJITOS SIN NOMBRE,Restaurantes con servicio de preparación de antojitos,19.00459104,-98.20043979
ANTOJITOS VIKI,Restaurantes con servicio de preparación de antojitos,19.00449848,-98.20107185
BUFFET DE COMIDA LA PEROLA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,19.00475926,-98.20195807
CAFE MINOU INGENIERIA ELECTRONICA 6,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00129497,-98.20323649
CAFETERIA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00115648,-98.20504899
CAFETERIA 4 SOLES,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00402913,-98.20574532
CAFETERIA ARANDANO II FACULTAD DE DERECHO,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00393067,-98.20125496
CAFETERIA BLUE BALAM,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00335163,-98.19995813
CAFETERIA COMPUTACION,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00540259,-98.20512568
CAFETERIA DE INGENIERIA QUIMICA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00446514,-98.20245095
CAFETERIA DE MULTILINEAS,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00162856,-98.20420454
CAFETERIA DEL CALE,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00326964,-98.19977755
CAFETERIA DEL LAGO,Restaurantes que preparan otro tipo de alimentos para llevar,19.00349098,-98.20555708
CAFETERIA EL CAFECITO DE JORGE,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00733529,-98.20257311
CAFETERIA FACULTAD DE FISICO MATEMATICAS,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00405342,-98.20152861
CAFETERIA FACULTAD DE INGENIERIA CIVIL,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00126448,-98.20290268
CAFETERIA FACULTAD DE INGENIERIA QUIMICA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00554009,-98.20490153
CAFETERIA JAKE MATE II FACULTAD DE DERECHO,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00345162,-98.20018223
CAFETERIA LA ROUTE 14,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00651479,-98.20458117
CAFETERIA LOUNCH EL TREBOL,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00427553,-98.20700883
CAFETERIA P PS ECONOMIA,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00363206,-98.20058758
CAFETERIA PEREZ,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00456428,-98.20148648
CAFETERIA Q RICO,Restaurantes de autoservicio,19.00128048,-98.20306534
CEMITAS BOMBOM,Restaurantes con servicio de preparación de tacos y tortas,19.00674886,-98.20234711
CEMITAS EL CHAK,Restaurantes con servicio de preparación de tacos y tortas,19.00525024,-98.20302884
CEMITAS LA DINAMITA,Restaurantes con servicio de preparación de tacos y tortas,19.00747284,-98.20297464
CEMITAS MI PUEBLA QUERIDA,Restaurantes con servicio de preparación de tacos y tortas,19.00640583,-98.20095797
CEMITAS POBLANAS ANDY,Restaurantes con servicio de preparación de tacos y tortas,19.00769457,-98.20447608
CENTRO CULTURA CASA OLINKA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,19.00714508,-98.20118242
COCINA CASERA JUQUILITA,Restaurantes que preparan otro tipo de alimentos para llevar,19.00427765,-98.20713141
COCINA ECONOMICA BURRITOS EXPRES,Restaurantes que preparan otro tipo de alimentos para llevar,19.00440758,-98.20117646
COCINA ECONOMICA CAPRICHO MEXICANO,Restaurantes que preparan otro tipo de alimentos para llevar,19.00716014,-98.20179017
COCINA ECONOMICA EL MESON DE DORITA,Restaurantes que preparan otro tipo de alimentos para llevar,19.00520431,-98.20292446
COCINA ECONOMICA EL RINCON DE LOS CHILAQUILES,Restaurantes con servicio de preparación de antojitos,19.00487566,-98.20222047
COCINA ECONOMICA LA CASITA,Restaurantes que preparan otro tipo de alimentos para llevar,19.00672358,-98.20424163
COCINA ECONOMICA LA CEBOLLINA,Restaurantes que preparan otro tipo de alimentos para llevar,19.00456428,-98.20148648
COCINA JESUS EL PAN DE VIDA,Restaurantes que preparan otro tipo de alimentos para llevar,19.00020693,-98.20470614
COCINA LAS CASUELITAS,Restaurantes que preparan otro tipo de alimentos para llevar,19.00717337,-98.20214503
COFFE BREAK DERECHO,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00342239,-98.20011657
COKTELES PAPAS Y CHICHARRINES,Servicios de preparación de otros alimentos para consumo inmediato,19.00119449,-98.202496
COMIDA RAPIDA FRUTA MADRE,Restaurantes de autoservicio,19.00456428,-98.20148648
COMIDA VEGETARIANA EL RABANITO,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,19.00760295,-98.20730701
EL COMALITO,Restaurantes con servicio de preparación de antojitos,19.00332225,-98.20731893
EL POBLANO POZOLERIA,Restaurantes con servicio de preparación de antojitos,19.00214807,-98.20812571
EL REY DAVID ANTOJITOS,Restaurantes con servicio de preparación de antojitos,19.0020266,-98.20803077
HAMBURGUESAS CHABELOS,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",19.00643019,-98.20102561
HOT DOG DON MARIO,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",19.00656923,-98.20140169
